Agent,Map,EpisodesUsed,MeanReward,MedianReward,StdReward,MinReward,MaxReward
DQN,mineral,3000,23.007933333333334,24.2,12.02814520457008,-6.0,52.55
A2C,mineral,3000,38.686,39.0,5.077473518723001,20.0,59.0
PPO,mineral,3000,37.251333333333335,37.0,5.855780467955479,18.0,55.0
