Agent,Map,EpisodesUsed,MeanReward,MedianReward,StdReward,MinReward,MaxReward
DQN,beacon,3000,21.05073333333333,22.599999999999973,5.43917268178003,-22.000000000000043,30.999999999999996
A2C,beacon,3000,26.092333333333332,26.0,1.865960312785052,20.0,33.0
PPO,beacon,3000,23.411666666666665,24.0,2.719349901886274,0.0,30.0
DQN,mineral,3000,23.007933333333334,24.2,12.02814520457008,-6.0,52.55
A2C,mineral,3000,38.686,39.0,5.077473518723001,20.0,59.0
PPO,mineral,3000,37.251333333333335,37.0,5.855780467955479,18.0,55.0
