Agent,Map,EpisodesUsed,MeanReward,MedianReward,StdReward,MinReward,MaxReward
DQN,beacon,3000,21.05073333333333,22.599999999999973,5.43917268178003,-22.000000000000043,30.999999999999996
A2C,beacon,3000,26.092333333333332,26.0,1.865960312785052,20.0,33.0
PPO,beacon,3000,23.411666666666665,24.0,2.719349901886274,0.0,30.0
